Start Time: 16:09:36
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.162, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True, 0.259, 0.000, 0.065
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True, 0.256, 0.000, 0.056
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True, 0.254, 0.000, 0.060
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True, 0.253, 0.000, 0.056
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True, 0.255, 0.000, 0.060
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True, 0.251, 0.000, 0.056
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True, 0.267, 0.000, 0.062
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True, 0.265, 0.000, 0.064
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True, 0.274, 0.000, 0.065
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True, 0.272, 0.000, 0.067
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True, 0.265, 0.000, 0.058
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True, 0.264, 0.000, 0.064
Start Time: 17:19:24
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.125, 0.007, 0.015
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.114, 0.014, 0.011
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.110, 0.017, 0.009
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.094, 0.042, 0.009
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.101, 0.029, 0.005
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.077, 0.098, 0.006
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.103, 0.026, 0.002
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.080, 0.084, 0.006
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.095, 0.039, -0.003
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.074, 0.111, 0.005
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.080, 0.085, -0.011
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.066, 0.152, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.069, 0.138, -0.019
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.056, 0.231, 0.000
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.091, 0.049, -0.014
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.088, 0.056, 0.007
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.178, 0.000, 0.031
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.170, 0.000, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.184, 0.000, 0.032
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.177, 0.000, 0.027
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.158, 0.001, 0.020
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.152, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.160, 0.001, 0.021
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.155, 0.001, 0.023
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.149, 0.001, 0.014
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.151, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.140, 0.002, 0.009
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.146, 0.002, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.137, 0.003, 0.006
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.134, 0.004, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.135, 0.003, 0.018
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.094, 0.041, 0.007
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.085, 0.066, 0.007
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.105, 0.023, 0.009
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.086, 0.063, 0.007
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.105, 0.023, 0.008
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.079, 0.090, 0.006
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.116, 0.012, 0.010
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.091, 0.050, 0.008
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.105, 0.023, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.075, 0.106, 0.005
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.083, 0.072, -0.006
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.066, 0.152, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.069, 0.137, -0.017
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.053, 0.248, 0.000
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.116, 0.012, -0.003
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.110, 0.018, 0.012
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.122, 0.008, 0.013
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.123, 0.008, 0.014
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.153, 0.001, 0.022
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.148, 0.001, 0.020
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.164, 0.000, 0.026
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.149, 0.001, 0.020
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.166, 0.000, 0.025
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.150, 0.001, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.143, 0.002, 0.015
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.131, 0.005, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.124, 0.007, 0.005
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.122, 0.008, 0.015
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.119, 0.010, -0.004
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.119, 0.010, 0.014
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.180, 0.000, 0.023
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.173, 0.000, 0.029
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.110, 0.018, 0.010
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.084, 0.069, 0.007
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.100, 0.030, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.074, 0.109, 0.006
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.102, 0.027, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.068, 0.140, 0.005
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.100, 0.031, 0.001
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.072, 0.118, 0.005
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.098, 0.034, -0.001
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.072, 0.120, 0.005
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.083, 0.073, -0.008
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.060, 0.192, 0.002
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.068, 0.141, -0.016
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.046, 0.317, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.098, 0.034, -0.009
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.084, 0.071, 0.006
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.161, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.149, 0.001, 0.020
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.164, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.150, 0.001, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.150, 0.001, 0.018
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.134, 0.004, 0.018
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.140, 0.002, 0.012
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.129, 0.005, 0.017
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.129, 0.005, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.127, 0.006, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.119, 0.010, -0.001
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.121, 0.009, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.109, 0.018, -0.007
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.112, 0.015, 0.012
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.099, 0.032, -0.013
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.102, 0.027, 0.009
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.078, 0.090, 0.003
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.051, 0.273, 0.003
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.097, 0.035, 0.007
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.066, 0.156, 0.004
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.104, 0.024, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.069, 0.138, 0.005
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.110, 0.017, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.078, 0.091, 0.006
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.105, 0.023, 0.004
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.074, 0.111, 0.005
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.082, 0.077, -0.006
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.058, 0.212, 0.002
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.068, 0.140, -0.014
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.046, 0.321, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.123, 0.008, 0.003
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.105, 0.024, 0.011
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.112, 0.015, 0.010
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.106, 0.022, 0.011
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.149, 0.001, 0.021
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.138, 0.003, 0.018
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.160, 0.001, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.137, 0.003, 0.018
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.161, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.139, 0.003, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.145, 0.002, 0.016
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.126, 0.007, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.128, 0.006, 0.007
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.119, 0.010, 0.014
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.121, 0.009, 0.001
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.114, 0.014, 0.013
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.188, 0.000, 0.029
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.174, 0.000, 0.029
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True, 0.135, 0.004, 0.018
ridge            , LeaveOneSubjOut, pca2, valence    , True, True, 0.128, 0.006, 0.013
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True, 0.126, 0.006, 0.014
ridge            , LeaveOneSubjOut, pca3, valence    , True, True, 0.114, 0.013, 0.012
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True, 0.133, 0.004, 0.016
ridge            , LeaveOneSubjOut, pca4, valence    , True, True, 0.112, 0.015, 0.011
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True, 0.130, 0.005, 0.013
ridge            , LeaveOneSubjOut, pca5, valence    , True, True, 0.112, 0.015, 0.012
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True, 0.132, 0.004, 0.013
ridge            , LeaveOneSubjOut, pca6, valence    , True, True, 0.115, 0.013, 0.013
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True, 0.116, 0.012, 0.005
ridge            , LeaveOneSubjOut, pca7, valence    , True, True, 0.102, 0.027, 0.010
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True, 0.107, 0.020, -0.001
ridge            , LeaveOneSubjOut, pca8, valence    , True, True, 0.093, 0.045, 0.009
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True, 0.130, 0.005, 0.005
ridge            , LeaveOneSubjOut, pca9, valence    , True, True, 0.123, 0.008, 0.015
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True, 0.177, 0.000, 0.030
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True, 0.175, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True, 0.180, 0.000, 0.030
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True, 0.176, 0.000, 0.027
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True, 0.163, 0.000, 0.023
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True, 0.160, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True, 0.163, 0.000, 0.021
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True, 0.160, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True, 0.153, 0.001, 0.015
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True, 0.158, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True, 0.148, 0.001, 0.011
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True, 0.156, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True, 0.143, 0.002, 0.009
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True, 0.151, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True, 0.142, 0.002, 0.006
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True, 0.106, 0.021, 0.011
ridge            , LeaveOneSubjOut, pca2, likeability, True, True, 0.102, 0.028, 0.009
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True, 0.123, 0.008, 0.015
ridge            , LeaveOneSubjOut, pca3, likeability, True, True, 0.111, 0.016, 0.010
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True, 0.139, 0.003, 0.019
ridge            , LeaveOneSubjOut, pca4, likeability, True, True, 0.117, 0.012, 0.011
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True, 0.142, 0.002, 0.019
ridge            , LeaveOneSubjOut, pca5, likeability, True, True, 0.126, 0.007, 0.013
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True, 0.143, 0.002, 0.018
ridge            , LeaveOneSubjOut, pca6, likeability, True, True, 0.116, 0.012, 0.013
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True, 0.115, 0.013, 0.007
ridge            , LeaveOneSubjOut, pca7, likeability, True, True, 0.100, 0.031, 0.010
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True, 0.105, 0.023, 0.000
ridge            , LeaveOneSubjOut, pca8, likeability, True, True, 0.089, 0.054, 0.008
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True, 0.150, 0.001, 0.014
ridge            , LeaveOneSubjOut, pca9, likeability, True, True, 0.141, 0.002, 0.019
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True, 0.135, 0.003, 0.017
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True, 0.138, 0.003, 0.017
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True, 0.171, 0.000, 0.029
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True, 0.167, 0.000, 0.023
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True, 0.188, 0.000, 0.035
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True, 0.172, 0.000, 0.025
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True, 0.190, 0.000, 0.036
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True, 0.175, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True, 0.172, 0.000, 0.028
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True, 0.159, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True, 0.151, 0.001, 0.017
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True, 0.147, 0.001, 0.021
