Start Time: 16:33:20,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(7, 0) ,,,,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.209,0,0.031,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.213,0,0.043,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.207,0,0.029,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.212,0,0.043,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.18,0,0.032,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.162,0,0.023,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.179,0,0.031,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.163,0,0.023,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.202,0,0.04,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.181,0,0.027,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.21,0,0.043,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.191,0,0.031,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.195,0,0.035,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.176,0,0.028,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.186,0,0.031,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.164,0,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.179,0,0.026,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.162,0,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.182,0,0.026,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.168,0,0.027,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.173,0,0.021,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.158,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.18,0,0.023,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.166,0,0.026,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.093,0.044,0.006,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.09,0.053,0.008,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.077,0.095,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.078,0.093,0.006,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.092,0.047,0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.093,0.044,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.098,0.034,0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.096,0.039,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.083,0.074,-0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.082,0.076,0.006,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.078,0.091,-0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.081,0.079,0.006,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.089,0.053,-0.007,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.09,0.052,0.007,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.073,0.116,-0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.076,0.099,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.061,0.19,-0.02,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.068,0.142,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.062,0.18,-0.021,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.064,0.17,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.164,0,0.026,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.146,0.002,0.019,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.163,0,0.025,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.144,0.002,0.019,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.179,0,0.031,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.16,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.19,0,0.034,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.173,0,0.026,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.174,0,0.027,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.156,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.166,0,0.022,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.144,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.151,0.001,0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.133,0.004,0.018,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.151,0.001,0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.136,0.003,0.018,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.144,0.002,0.009,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.131,0.004,0.017,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.15,0.001,0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.135,0.003,0.018,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.246,0,0.061,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.231,0,0.044,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.26,0,0.068,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.244,0,0.049,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.269,0,0.072,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.251,0,0.051,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.269,0,0.072,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.253,0,0.054,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.255,0,0.064,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.241,0,0.05,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.245,0,0.058,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.23,0,0.047,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.233,0,0.051,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.22,0,0.044,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.232,0,0.05,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.224,0,0.046,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.228,0,0.046,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.223,0,0.046,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.225,0,0.044,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.22,0,0.045,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True,0.195,0,0.038,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, valence    , True, True,0.187,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True,0.188,0,0.034,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, valence    , True, True,0.183,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True,0.206,0,0.042,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, valence    , True, True,0.198,0,0.032,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True,0.212,0,0.043,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, valence    , True, True,0.205,0,0.035,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True,0.2,0,0.036,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, valence    , True, True,0.193,0,0.032,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True,0.19,0,0.031,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, valence    , True, True,0.181,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True,0.177,0,0.022,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, valence    , True, True,0.174,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True,0.178,0,0.021,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, valence    , True, True,0.178,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, valence    , True, True,0.171,0,0.016,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, valence    , True, True,0.172,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, valence    , True, True,0.178,0,0.019,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, valence    , True, True,0.18,0,0.031,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True,0.114,0.014,0.012,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True,0.12,0.009,0.013,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True,0.098,0.035,0.005,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True,0.108,0.019,0.011,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True,0.11,0.017,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True,0.121,0.009,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True,0.115,0.013,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True,0.123,0.008,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True,0.106,0.022,0.003,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True,0.115,0.013,0.013,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True,0.104,0.025,0.001,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True,0.116,0.012,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True,0.115,0.012,0.002,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True,0.124,0.007,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True,0.098,0.034,-0.005,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True,0.109,0.018,0.012,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, arousal    , True, True,0.087,0.059,-0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, arousal    , True, True,0.103,0.026,0.01,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, arousal    , True, True,0.088,0.058,-0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, arousal    , True, True,0.099,0.033,0.009,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True,0.179,0,0.032,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, likeability, True, True,0.172,0,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True,0.173,0,0.029,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, likeability, True, True,0.167,0,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True,0.182,0,0.032,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, likeability, True, True,0.176,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True,0.192,0,0.035,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, likeability, True, True,0.187,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True,0.179,0,0.028,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, likeability, True, True,0.173,0,0.027,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True,0.169,0,0.022,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, likeability, True, True,0.161,0,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True,0.15,0.001,0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, likeability, True, True,0.148,0.001,0.021,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True,0.151,0.001,0.01,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, likeability, True, True,0.152,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, likeability, True, True,0.146,0.002,0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, likeability, True, True,0.148,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, likeability, True, True,0.155,0.001,0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, likeability, True, True,0.157,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True,0.256,0,0.065,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True,0.248,0,0.049,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True,0.264,0,0.069,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True,0.257,0,0.053,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True,0.267,0,0.071,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True,0.261,0,0.055,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True,0.266,0,0.069,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True,0.262,0,0.057,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True,0.254,0,0.062,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True,0.249,0,0.053,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True,0.242,0,0.055,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True,0.239,0,0.05,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True,0.228,0,0.045,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True,0.23,0,0.048,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True,0.225,0,0.043,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True,0.233,0,0.049,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, rewatch    , True, True,0.221,0,0.039,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, rewatch    , True, True,0.232,0,0.049,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, rewatch    , True, True,0.22,0,0.037,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, rewatch    , True, True,0.232,0,0.05,,,,,,,,,,
Start Time: 08:59:19,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=6, hl_margins=(6, 0) ,,,,,run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=6, hl_margins=(6, 0) ,,,
run_features=True, with: is_hl=True , specific_blendshapes=False ,,,,,,,,run_features=True, with: is_hl=True , specific_blendshapes=True ,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True,-0.029,0.526,-0.013,,linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.067,0.145,0.003
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True,-0.028,0.543,-0.005,,ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.061,0.189,0.004
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.044,0.339,-0.006,,linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.063,0.174,-0.001
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.037,0.419,0,,ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.054,0.244,0.003
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.048,0.297,-0.009,,linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.044,0.347,-0.006
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.042,0.36,0.001,,ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.034,0.458,0
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.05,0.285,-0.014,,linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.038,0.406,-0.01
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.05,0.279,0.001,,ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.032,0.489,-0.001
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.057,0.222,-0.014,,linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.04,0.392,-0.014
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.057,0.219,0.002,,ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.039,0.401,0
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.094,0.043,-0.005,,linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.028,0.549,-0.018
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.093,0.045,0.009,,ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.024,0.608,-0.003
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.087,0.059,-0.009,,linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.02,0.666,-0.022
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.088,0.058,0.007,,ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.018,0.691,-0.004
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.112,0.015,-0.001,,linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.019,0.683,-0.024
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.098,0.035,0.009,,ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.01,0.821,-0.005
linear_regression, LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.124,0.007,-0.001,,linear_regression, LeaveOneClipOutForEachSubject, pca10, valence    , True, True,-0.005,0.911,-0.034
ridge            , LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.116,0.012,0.013,,ridge            , LeaveOneClipOutForEachSubject, pca10, valence    , True, True,-0.016,0.728,-0.01
linear_regression, LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.111,0.016,-0.008,,linear_regression, LeaveOneClipOutForEachSubject, pca11, valence    , True, True,-0.01,0.824,-0.039
ridge            , LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.101,0.028,0.01,,ridge            , LeaveOneClipOutForEachSubject, pca11, valence    , True, True,-0.017,0.714,-0.011
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.115,0.013,0.01,,linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.181,0,0.032
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.119,0.01,0.013,,ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.183,0,0.03
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.143,0.002,0.017,,linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.169,0,0.026
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.145,0.002,0.02,,ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.175,0,0.028
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.14,0.002,0.015,,linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.158,0.001,0.021
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.143,0.002,0.019,,ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.165,0,0.025
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.136,0.003,0.012,,linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.169,0,0.025
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.139,0.003,0.019,,ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.175,0,0.028
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.126,0.006,0.007,,linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.162,0,0.022
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.128,0.006,0.016,,ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.171,0,0.027
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.118,0.011,0.002,,linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.15,0.001,0.016
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.122,0.009,0.015,,ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.159,0.001,0.024
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.113,0.015,-0.001,,linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.154,0.001,0.017
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.109,0.018,0.012,,ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.17,0,0.027
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.114,0.014,-0.002,,linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.149,0.001,0.014
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.106,0.021,0.011,,ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.164,0,0.026
linear_regression, LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.116,0.012,-0.005,,linear_regression, LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.14,0.002,0.009
ridge            , LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.115,0.013,0.013,,ridge            , LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.156,0.001,0.024
linear_regression, LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.106,0.021,-0.012,,linear_regression, LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.128,0.005,0.003
ridge            , LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.111,0.016,0.012,,ridge            , LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.147,0.001,0.021
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True,-0.037,0.426,-0.013,,linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.082,0.077,0.006
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True,-0.035,0.448,-0.005,,ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.076,0.101,0.005
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.022,0.633,-0.009,,linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.063,0.173,0
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.019,0.685,-0.001,,ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.057,0.22,0.003
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.032,0.483,-0.011,,linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.046,0.316,-0.004
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.03,0.515,-0.001,,ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.038,0.415,0.001
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.031,0.502,-0.015,,linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.037,0.419,-0.009
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.032,0.487,-0.001,,ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.033,0.475,0
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.036,0.434,-0.016,,linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.038,0.414,-0.012
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.036,0.434,-0.001,,ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.036,0.438,0
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.099,0.032,0,,linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.029,0.538,-0.015
